record_id,customer_id,loan_id,banker_id,transaction_date
1,1,f6d13d77-b063-42d9-8028-70e312ef1502,91-6838638,29-08-2022
2,2,a83f6173-ccba-4973-af87-6da83edb962c,44-8539248,21-08-2022
3,3,b825220f-42c9-4f3b-952c-3a8eee122912,98-2590988,10-08-2022
4,4,f12ac568-d1fc-468c-8671-13b48a297570,42-7286348,27-08-2022
5,5,5fa22f05-f44b-427b-84bd-bff2c2c91133,18-5565639,03-08-2022
6,6,75ba130a-a631-4a91-b63e-a3f77550e056,57-9174880,10-08-2022
7,7,282b7802-68bc-4796-bfc2-c921f7e884a7,61-9752031,13-08-2022
8,8,cc02a680-d1a7-4b28-8844-cd232fcde381,29-5277223,06-08-2022
9,9,f2eb5392-ed45-42cc-a33c-300625df1b13,55-5734855,18-08-2022
10,10,a0301f09-5c66-41ac-8381-939d46489b52,51-4875583,26-08-2022
11,11,2b532f5e-b698-4566-991d-2373e0349db5,03-2641281,03-08-2022
12,12,9b5233cc-6ed2-42f0-8600-67287f5ba32a,42-1549766,01-08-2022
13,13,0c9d0a73-42b9-463e-a0fa-796636f4433c,91-8454719,16-08-2022
14,14,028820b5-798c-4741-9e10-5db607aeec3c,19-0370733,22-08-2022
15,15,eaa0ae3d-3537-47a3-b29f-4aad08fbb890,69-3766552,20-08-2022
16,16,332b1577-c07e-4034-b48a-762f1ebd0880,82-6308176,25-08-2022
17,17,7126d3a1-e231-4ba2-97c9-6c4c94cf8517,29-7219353,12-08-2022
18,18,bb7e038f-1fd6-4da5-b1f4-61bde8b00cb3,17-8676655,30-08-2022
19,19,d5af6ab6-29a6-4fc4-ae57-0c71b3224a81,76-5546372,24-08-2022
20,20,f1e14f69-9a50-4735-a8e9-3927acd9eea8,84-0102772,28-08-2022
21,21,de3c711f-1b76-40cd-a3bb-1bd86ceb8ce6,56-7724868,04-08-2022
22,22,6b4471bb-0a95-448d-b14e-e21e9a47c33f,61-1054895,03-08-2022
23,23,c3201ad3-ca8b-4a92-95ad-1def689cb35d,61-6711847,13-08-2022
24,24,e6fbfb79-dd08-4531-9267-216a74483427,26-7892906,18-08-2022
25,25,353f5832-9ed8-4865-bd50-a0b1825a8c6c,08-6433961,25-08-2022
26,26,68fb3224-22c1-4a7a-b308-f614725e1532,50-7264215,27-08-2022
27,27,529af3f5-b830-4391-87ca-4dd3118b7143,83-7722614,24-08-2022
28,28,3bbd76ef-63ec-484a-9ea2-9c7310e93f8f,05-4983398,17-08-2022
29,29,95bde8fb-b634-473c-8e37-0ca49ee8d477,17-5960538,19-08-2022
